SL	Text	Type	Source	Category	Label
64	উন্নত বহু-ব্যবহারকারী প্রমাণীকরণ ব্যবস্থা এখন অত্যন্ত গুরুত্বপূর্ণ হয়ে উঠেছে, কারণ যানবাহন নিরাপত্তা-সংক্রান্ত ঘটনার সংখ্যা বেড়ে গেছে। একটি মাল্টি-লেয়ার প্রমাণীকরণভিত্তিক যানবাহন নিরাপত্তা ব্যবস্থা উন্নয়ন করা হয়েছে, যেখানে একই প্ল্যাটফর্মে ইএসপি৩২ মাইক্রোকন্ট্রোলার, আঙুলের ছাপ বায়োমেট্রিক ও আরএফআইডি ভিত্তিক পরিচয় ব্যবস্থাকে সংযুক্ত করা হয়েছে। আরএফআইডি কার্ডগুলো নির্দিষ্ট আঙুলের ছাপের সাথে সংযুক্ত থাকে, যার মাধ্যমে বিভিন্ন অনুমোদিত ব্যবহারকারী নিরাপদে তাদের যানবাহনে প্রবেশ করতে পারেন। ইএম১৮ মডিউলে আরএফআইডি যাচাইকরণ অনুমোদনহীন কার্ড ব্যবহারে বাধা প্রদান করে। আরএফআইডি যাচাইকরণ সফল হলে আরএস৩০৭ সেন্সর আঙুলের ছাপ যাচাইয়ের মাধ্যমে চূড়ান্ত প্রমাণীকরণ সম্পন্ন করে। ব্যবহারকারীরা সর্বোচ্চ তিনবার যাচাই করার সুযোগ পান; এর পরপরই জিএসএম (সিম৯০০এ) সিস্টেম নিবন্ধিত অ্যাকাউন্টধারীকে সতর্কবার্তা পাঠায়। ইএসপি৩২ মাইক্রোকন্ট্রোলারের কারণে কম বিদ্যুৎ ব্যবহারের সাথে দ্রুত প্রতিক্রিয়া নিশ্চিত হয়। অভ্যন্তরীণ পরীক্ষায় দেখা যায়, জিএসএম মডিউল তিন সেকেন্ডের মধ্যেই প্রতিক্রিয়া প্রদান করেছে, আঙুলের ছাপ যাচাইয়ের সাফল্যের হার ছিল ৯৮.৬৭% এবং আরএফআইডি যাচাইকরণে ৯৯.৩৩% সাফল্য পাওয়া গেছে, যার ফলে পুরো ব্যবস্থার গড় কার্যকারিতা দাঁড়িয়েছে ৯৮.৬৬%। এই ব্যবস্থা শক্তিশালী নিরাপত্তা নিশ্চিত করে, একাধিক ব্যবহারকারীর নিরাপদ প্রমাণীকরণ ও স্বল্প ব্যয়ে অননুমোদিত প্রবেশ রোধের সমাধান প্রদান করে। মাল্টি-লেয়ার প্রমাণীকরণের মাধ্যমে বিভিন্ন যাচাই পদ্ধতি প্রয়োগ করে নিরাপত্তা নিশ্চিত করা হয়। ভবিষ্যতের প্রযুক্তিগত উন্নয়নের মাধ্যমে এই ব্যবস্থা আরও উপকৃত হবে, যেখানে কৃত্রিম বুদ্ধিমত্তাভিত্তিক প্রমাণীকরণ ও ক্লাউড-ভিত্তিক পর্যবেক্ষণ ব্যবস্থার সংযুক্তির মাধ্যমে নিরাপত্তা আরও বৃদ্ধি পাবে এবং সিস্টেমটি আরও অভিযোজ্য হয়ে উঠবে।	Scientific Abstract	https://ieeexplore.ieee.org/document/10987970	HWT	0
65	কৃত্রিম বুদ্ধিমত্তা জনপ্রিয়তা লাভ করার পর থেকে এটিকে দৈনন্দিন জীবনের বহু ক্ষেত্রে ব্যবহার ও প্রয়োগ করা হচ্ছে, যা পূর্বে ছিল অকল্পনীয়। বর্তমানে, বহু লেখা এবং নথি তৈরি করতে এআই সরঞ্জাম ব্যবহার করা হচ্ছে। এমনকি শিক্ষাগত এবং ব্যবসায়িক প্রতিবেদন তৈরির জন্যও এমন প্ল্যাটফর্মগুলো কাজে লাগানো হচ্ছে। এআই-এর লেখা ও প্রতিবেদন তৈরি করার ক্ষমতাটি বিশাল, তবে এটিও চিহ্নিত করা গুরুত্বপূর্ণ যে কোনটি মানুষের লেখা এবং কোনটি এআই প্ল্যাটফর্ম ব্যবহার করে তৈরি করা হয়েছে। এই গবেষণায়, আমরা পৃথিবীর সবচেয়ে বেশি কথিত ভাষাগুলোর মধ্যে অন্যতম বাংলা ভাষার জন্য এই সমস্যাটি সমাধানের চেষ্টা করেছি। আমরা বিভিন্ন ডোমেন থেকে লেখা নিয়ে এই কাজের জন্য একটি ডেটাসেট তৈরি করেছি, যার পঞ্চাশ শতাংশ এআই দ্বারা তৈরি এবং বাকিগুলো মানুষের লেখা। এই গবেষণার সমস্ত উপকরণ জনসমক্ষে প্রকাশ করা হবে যাতে গবেষণা সম্প্রদায় সেগুলো ব্যবহার করতে পারে।	Scientific Abstract	https://ieeexplore.ieee.org/document/11171930	HWT	0
66	সাইবারস্পেসের উপর নির্ভরতা বৃদ্ধির সাথে সাথে, উন্নয়নশীল দেশগুলির জন্য সাইবার হুমকি মোকাবিলা করা ক্রমশ কঠিন হয়ে উঠছে। এই গবেষণাটি একটি উন্নয়নশীল দেশের অভ্যন্তরীণ এবং বাহ্যিক উভয় সম্পদকে একীভূত করে উল্লিখিত হুমকিগুলির মোকাবিলা করার জন্য একটি সামগ্রিক পদ্ধতির পরামর্শ দিয়েছে। এটি অনলাইন সম্পদ এবং বিভিন্ন প্রকাশনার উপর ভিত্তি করে একটি বর্ণনামূলক গবেষণা। দূষিত ব্যক্তি, সংস্থা, এবং এমনকি রাষ্ট্রীয় অভিনেতাদের দ্বারা উদ্ভূত সব ধরনের সাইবার হুমকির মুখে উন্নয়নশীল জাতি/রাষ্ট্রগুলি ঝুঁকির মধ্যে থাকে। একদিকে, এই অপেক্ষাকৃত ছোট দেশগুলিতে আইটি  সম্পদ ব্যবহারের ক্ষেত্রে জনসচেতনতার অভাব রয়েছে, অন্যদিকে, তাদের প্রয়োজনীয় উন্নত দক্ষতা, সরঞ্জাম এবং পরিকাঠামো সংস্থান করার সামর্থ্য নেই। অতএব, অভ্যন্তরীণ এবং বাহ্যিক উভয় এজেন্ট থেকে উদ্ভূত সাইবার হুমকি ব্যর্থ করার জন্য তাদের একটি সামগ্রিক পদ্ধতির প্রয়োজন। অভ্যন্তরীণভাবে, উন্নয়নশীল দেশগুলি জনসচেতনতা বৃদ্ধি করতে, প্রয়োজনীয় দক্ষতার ভিত্তি, পরিকাঠামো তৈরি করতে এবং সরকারি-বেসরকারি অংশীদারিত্ব গঠন করতে পারে। আন্তর্জাতিকভাবে, নিজেদের জাতীয় স্বার্থকে সম্মান জানিয়ে, দেশগুলি সরঞ্জাম এবং দক্ষতা ভাগ করে নেওয়ার জন্য জোট  গঠন করতে পারে। আশা করা যায়, এই ধরনের প্রচেষ্টাগুলি উন্নয়নশীল দেশগুলিকে বিভিন্ন ধরনের হুমকি থেকে সাইবারস্পেসকে সুরক্ষিত করতে সাহায্য করবে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9396966	HWT	0
67	বাংলাদেশে ফল চাষ কৃষির একটি অবিচ্ছেদ্য অংশ। কৃষকরা এখনও গতানুগতিক বা প্রথাগত পদ্ধতির উপর ভিত্তি করে ফসলের সুপারিশ গ্রহণ করে। ফলস্বরূপ, মাটির প্রয়োজনীয়তা অনুসারে তারা উপযুক্ত ফলের ফসল নির্বাচন করতে পারে না, যা আমাদের অর্থনীতিকে বাধাগ্রস্ত করে। এই নির্দিষ্ট গবেষণাপত্রে আমরা একটি সুপারিশ ব্যবস্থা প্রস্তাব করে এই সমস্যাটি সমাধানের চেষ্টা করেছি, যা কৃষকদের একটি নির্দিষ্ট মাটির জন্য সবচেয়ে উপযুক্ত ফসল খুঁজে বের করতে সহায়তা করবে। এই প্রস্তাবিত ব্যবস্থাটি একটি মোবাইল অ্যাপ্লিকেশন ব্যবহার করে কাজ করে, যা ব্যবহারকারীর মাটির প্রকারভেদ এবং ভৌগোলিক তথ্য নিয়ে পিয়ারসন কোরিলেশন সিমিলারিটি ক্যালকুলেশন পরিচালনা করে নির্দিষ্ট এলাকাগুলি নির্ধারণ করে। পরবর্তীতে নির্বাচিত এলাকাগুলির ফল উৎপাদন হারের ভিত্তিতে সুপারিশটি তৈরি করা হবে। এইভাবে, সিস্টেমটি ভুল ফল নির্বাচন হ্রাস করবে এবং উৎপাদনশীলতা বৃদ্ধি করবে। প্রিসিশন এবং রিকল পদ্ধতি  প্রয়োগ করে, তৈরি করা এই সিস্টেমটিকে আসল তথ্য অনুযায়ী যাচাই করা হয়েছে, যা সন্তোষজনক নির্ভুলতা প্রদান করে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9396923	HWT	0
68	সেন্টিমেন্ট অ্যানালিসিস অনুভূতি, আগ্রহ এবং মতামতের নিরিখে বিভিন্ন প্রেক্ষাপট ও ক্ষেত্রে উপস্থাপিত তথ্য ব্যাখ্যা করার বিষয়টিকে তুলে ধরে। যে শিল্পগুলির কোনো নির্দিষ্ট বিষয় বা ক্ষেত্রে মানুষের মতামত সম্পর্কে সচেতনতা প্রয়োজন, তাদের জন্য এটি সহায়ক হতে পারে। টুইটার অন্যতম বহুল ব্যবহৃত একটি মাইক্রো ব্লগিং সাইট, যেখানে ব্যবহারকারীরা তাদের চিন্তা, দৃষ্টিভঙ্গি এবং মতামত প্রকাশ করতে পারে, যা সেন্টিমেন্ট বিশ্লেষণের জন্য এটিকে একটি চমৎকার উৎসে পরিণত করেছে। এই পর্যালোচনা নিবন্ধে বিভিন্ন বছরের বেশ কিছু কাজ নিয়ে আলোচনা ও সংক্ষিপ্ত বর্ণনা করা হয়েছে। পর্যালোচনা করা কাজগুলিকে তাদের বাস্তবায়িত শ্রেণিবিন্যাস অ্যালগরিদম অনুযায়ী শ্রেণিবদ্ধ করা হয়েছে। এই পর্যালোচনা পত্রে টুইটার ডেটা ব্যবহার করে সেন্টিমেন্ট বিশ্লেষণের বিভিন্ন কৌশল এবং পদ্ধতির উপর একটি তুলনামূলক বিশ্লেষণ  করা হয়েছে। এছাড়াও, টুইটার সেন্টিমেন্ট অ্যানালিসিসের কর্মক্ষমতা বিশ্লেষণ, গবেষণার ঘাটতি  এবং ভবিষ্যতের সুযোগগুলি নিয়ে আলোচনা করা হয়েছে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9396915	HWT	0
69	বিমান শিল্প গত দুই দশকে বেশ গতিশীলভাবে বিকশিত হয়েছে। বিমান সংস্থাগুলি প্রথাগত গ্রাহক প্রতিক্রিয়ার পদ্ধতি ব্যবহার করে যা খুবই গতানুগতিক এবং সময়সাপেক্ষ। এই সমস্যা কমাতে ইনপুট বিশ্লেষণের জন্য সেন্টিমেন্ট অ্যানালিসিস একটি গুরুত্বপূর্ণ পদ্ধতি হতে পারে। ব্যবহারকারীদের টুইট এবং মতামত বিশ্লেষণের জন্য টুইটার ডেটা একটি মূল্যবান পদ্ধতি হিসাবে কাজ করে। এই গবেষণাপত্রটি একটি অভিনব ডিপ লার্নিং মডেল প্রস্তাব করেছে, যা কার্যকরভাবে বিভিন্ন ওয়ার্ড এমবেডিংকে ডিপ লার্নিং পদ্ধতির সাথে একত্রিত করে ছয়টি প্রধান মার্কিন এয়ারলাইন্সের টুইট নিয়ে গঠিত একটি ডেটাসেট এবং মাল্টি-ক্লাস সেন্টিমেন্ট অ্যানালিসিস মূল্যায়ন করে। সিস্টেম নির্বাচনগুলি এই বৈশিষ্ট্যগুলিকে টার্ম এমবেডিং-এর জন্য বিভিন্ন ডিপ-লার্নিং পদ্ধতির সাথে একীভূত করে এবং সেন্টিমেন্টাল নথিগুলিকে শ্রেণীবদ্ধ করে। এই পদ্ধতিটি সিএনএন-এর জন্য র ডিএনএন ডেটা নিষ্কাশন এবং টুইট-পরিষ্কার করার প্রি-প্রসেসিং পদ্ধতি দিয়ে শুরু হয়। পরীক্ষার সেট ফলাফল একটি ৩-শ্রেণীর ডেটাসেট এবং ডেটাসেট প্রিসিশন অ্যাসেসমেন্টের সাথে একটি ইতিবাচক/নেতিবাচক/নিরপেক্ষ টুইট ব্যাখ্যা। পরিশেষে, আমরা বিভিন্ন গবেষকদের দ্বারা উপস্থাপিত মডেলগুলি থেকে প্রাপ্ত ফলাফলগুলি বুঝতে পারি এবং প্রমাণ করি যে আমাদের মডেলটি পূর্ববর্তী ফ্রেমওয়ার্কগুলির চেয়ে বেশি নির্ভরযোগ্য।	Scientific Abstract	https://ieeexplore.ieee.org/document/9396879	HWT	0
70	সাইবারসিকিউরিটি হলো ইন্টারনেট ও ইন্ট্রানেটে থাকা তথ্যকে বাইরের উৎস থেকে সুরক্ষিত রাখার একটি অনুশীলন। দ্রুত পরিবর্তনশীল ডিজিটাল রূপান্তরের কারণে যুগ যুগ ধরে চলে আসা ঐতিহ্যবাহী তথ্য নিরাপত্তা ব্যবস্থাগুলি অকার্যকর প্রমাণিত হয়েছে। বর্তমান ধারণা অনুসারে, বিশ্বব্যাপী এবং জাতীয় উভয় প্রেক্ষাপটে সাইবারস্পেসে তথ্য-অনিরাপত্তার পরিবেশটি অভূতপূর্ব গতিতে বৃদ্ধি পাচ্ছে। এই গবেষণাপত্রে চারটি আন্তর্জাতিকভাবে স্বীকৃত সূচকের মাধ্যমে বাংলাদেশের পরিস্থিতি বিশ্লেষণ করা হয়েছে, যা উন্নয়নের জন্য উল্লেখযোগ্য সুযোগের প্রয়োজনীয়তা নির্দেশ করে। এই ধরনের ঘটনা ব্যক্তি, সংস্থা এবং রাষ্ট্রকে প্রভাবিত করছে। সাইবারসিকিউরিটির চ্যালেঞ্জগুলি মূলত আইনি কাঠামোর অভাব বা অনুপযুক্ত আইনি নথি, অদক্ষ কারিগরি প্রতিষ্ঠান, সাংগঠনিক দক্ষতা ও সক্ষমতা তৈরির অভাব, এবং অবশেষে সহযোগিতার পদ্ধতির অভাব থেকে উদ্ভূত হয়। প্রস্তাবিত নীতির বিকল্পগুলি ২০৩০ সালের মধ্যে একটি ডিজিটালভাবে সংযুক্ত নিরাপদ, সুরক্ষিত এবং নির্ভরযোগ্য বাংলাদেশ গড়ে তোলার লক্ষ্যে চলমান চ্যালেঞ্জগুলির সমাধান করেছে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9396958	HWT	0
71	এই প্রবন্ধে এমন একটি মাপজোখ পদ্ধতি উপস্থাপন করা হয়েছে যা ন্যানো সিলভার ইঙ্কের বিদ্যুৎ পরিবাহিতা অর্জনের ক্ষেত্রে সিন্টারিং-এর প্রভাব নির্ধারণ করতে সক্ষম। এজন্য অপেক্ষাকৃত কম ফ্রিকোয়েন্সিতে একটি মাপজোখ সেটআপ বেছে নেওয়া হয়েছে, যাতে তড়িৎচৌম্বক (ইএম) ক্ষেত্রটি সম্পূর্ণভাবে পরিবাহী অঞ্চলের ভেতরে প্রবেশ করতে পারে। এর ফলে পরিবাহিতা পরিবর্তনের দ্বারা অত্যন্ত প্রভাবিত হওয়া ট্রান্সমিশন পরিমাপ করা সম্ভব হয়। ভিন্ন ভিন্ন সিন্টারিং তাপমাত্রার কারণে সৃষ্ট সামান্য পরিবর্তনগুলিও এভাবে পরিমাপযোগ্য। একটি মডেল তৈরি করা হয়েছে যা পলিইমাইডের একটি বাহক স্তরসহ উপাদান নমুনার মধ্য দিয়ে ই.এম-ক্ষেত্রের ট্রান্সমিশন বর্ণনা করে, যা নমুনার পরিবাহিতা নির্ধারণের সুযোগ দেয়। নমুনা হিসেবে স্পাটার্ড কপার স্তর পরীক্ষা করা হয়েছে, একই সঙ্গে বিভিন্ন তাপমাত্রা ও ভিন্ন সিন্টারিং পদ্ধতিতে প্রক্রিয়াজাত ন্যানো সিলভার ইঙ্কও বিশ্লেষণ করা হয়েছে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924366	HWT	0
72	মাইক্রোস্ট্রিপ বা কোপ্ল্যানার পরিবেশে সক্রিয় মাইক্রোওয়েভ যন্ত্রের সুনির্দিষ্ট অন-ওয়েফার পরিমাপের জন্য, প্রতিফলন ও সংক্রমণ স্ব-ক্যালিব্রেশনসহ ষোলো-টার্ম ত্রুটি মডেলকে এক নতুন উপায়ে চারটি লিকি দুই-পোর্ট প্রতিফলন মানদণ্ডের সাথে সংযুক্ত করা হয়েছে ক্রসটক ক্যালিব্রেশনের উদ্দেশ্যে। লিকি মানদণ্ড ব্যবহার করে ত্রুটি-টার্ম গণনার জন্য প্রয়োজনীয় বিশ্লেষণাত্মক সূত্রের অভাব একটি অপ্টিমাইজার-ভিত্তিক পদ্ধতির মাধ্যমে সমাধান করা হয়েছে, যা অজানা ক্যালিব্রেশন মানদণ্ডগুলোকে অপ্টিমাইজেশনের পরামিতি হিসেবে সংজ্ঞায়িত করে ক্যালিব্রেশন পদ্ধতি (যেমন টিআরএল, এলআরএম, এলআরআরএম) বেছে নেওয়ার সুযোগ দেয়। প্রতিফলন ও লোড মানদণ্ডের ক্রসটক তড়িৎচৌম্বক গঠন সিমুলেশন থেকে প্রাপ্ত হয়। একটি উন্নত মাইক্রোস্ট্রিপ লোড বাস্তবায়ন করা হয়েছে যা অন্তত একশ বিশ গিগাহার্টজ পর্যন্ত টিআর(আর)এল ক্যালিব্রেশনের পরিবর্তে এলআর(আর)এম ক্যালিব্রেশনকে সক্ষম করে। একটি গ্যালিয়াম নাইট্রাইড হাই ইলেকট্রন মোবিলিটি ট্রানজিস্টরের ক্রসটক ক্যালিব্রেশনসহ ও ছাড়া পরিমাপ স্পষ্টভাবে প্রমাণ করে যে এটি গেইন ও স্থিতিশীলতা গুণাঙ্কের ওপর শক্তিশালী প্রভাব ফেলে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
73	সাধারণীকৃত রিফ্লেক্ট-থ্রু-লাইন (জিটিআরএল) ক্যালিব্রেশন প্রযুক্তি ব্যবহার করা হয়েছে বহু-অক্টেভ ব্যান্ড অঞ্চলে কার্যরত তরঙ্গনালী যন্ত্রের পরিমাপের জন্য, যেখানে তরঙ্গনালীগুলি বহু-মোড বিশিষ্ট। এই অবদানে প্রাথমিক কিছু ফলাফল প্রদর্শন করা হয়েছে যা ডাব্লিউআর৭৫ হ্রাসকৃত উচ্চতার আয়তাকার তরঙ্গনালীর তৃতীয় হরমোনিক পর্যন্ত পরিমাপ সম্পর্কিত, যেখানে চারটি পর্যন্ত মোড কাটঅফ-এর উপরে থাকে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
74	মিলিমিটার-তরঙ্গ (এমএমডব্লিউ) উপাদান প্রকৌশল ও উৎপাদন প্রক্রিয়ায় ভালো ক্যালিব্রেশন, পরিমাপের নির্ভুলতা এবং পুনরাবৃত্তিযোগ্যতা অর্জন করা প্রায়শই একটি স্থায়ী চ্যালেঞ্জ হয়ে দাঁড়ায়। এর পাশাপাশি, ব্যাপক উৎপাদনের পরিবেশে যেখানে পরীক্ষার গতি ও তথ্যের নির্ভরযোগ্যতা অত্যন্ত জরুরি, সেখানে যন্ত্রের সঠিক ও ধারাবাহিক বৈশিষ্ট্য নির্ধারণ করা আরও কঠিন হয়ে ওঠে। এই সমস্যার একটি ভালো সমাধান হলো কন্টাক্টলেস ফ্ল্যাঞ্জ। এটি পরীক্ষাধীন যন্ত্রের (ডিইউটি) সাথে পূর্ণ যান্ত্রিক সংযোগ ছাড়াই এবং স্ক্রু টাইট না করেই বৈদ্যুতিকভাবে সংযুক্ত হতে পারে। কন্টাক্টলেস ফ্ল্যাঞ্জের দুটি ধরন রয়েছে— চোক ফ্ল্যাঞ্জ এবং পিন-অ্যারে ফ্ল্যাঞ্জ। এই প্রবন্ধে তিনটি সাধারণ কন্টাক্টলেস ফ্ল্যাঞ্জ নকশার কার্যক্ষমতা উপস্থাপন ও তুলনা করা হয়েছে, বিশেষ করে সম্ভাব্য অমিলনের (মিসলাইনমেন্ট) প্রভাব বিবেচনা করে। অতিরিক্তভাবে, একটি রেল পজিশনিং সিস্টেম প্রস্তাব করা হয়েছে যা কন্টাক্টলেস ফ্ল্যাঞ্জের সাথে সংযুক্ত হয়ে তরঙ্গনালী উপাদান পরীক্ষার সময় অ্যালাইনমেন্টের ঝামেলা কমায়। রেল পজিশনিং সিস্টেমটি সফলভাবে ভেক্টর নেটওয়ার্ক অ্যানালাইজারের (ভিএনএ) জন্য এমএমডব্লিউ ফ্রিকোয়েন্সি এক্সটেন্ডারের সাথে একীভূত করা হয়েছে, যা এমএমডব্লিউ ও টেরাহার্টজ পরীক্ষাকে আরও সহজ ও কার্যকর করেছে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
75	এই প্রবন্ধে একটি ইন্টারফেরোমেট্রিক রিসিভার আর্কিটেকচার প্রস্তাব করা হয়েছে যা সংহত বহুপদী বড়-স্কেল ওয়্যারলেস সিস্টেমের জন্য উপযুক্ত। রিসিভারটি মাল্টিপোর্ট ইন্টারফেরোমেট্রিক রিসিভারের প্রযুক্তিগত সুবিধাগুলো গ্রহণ করেছে, পাশাপাশি এটি একযোগে ডেটা গ্রহণ করতে পারে এবং আসা সিগনালের এঙ্গেল-অফ-অ্যারাইভাল (এওএ) এবং ধ্রুবণ নির্ণয় করতে সক্ষম। ডেটা যোগাযোগ, এওএ অনুমান এবং ধ্রুবণ সনাক্তকরণ এই বিভিন্ন ফাংশনের মডেলিংসহ একটি তাত্ত্বিক ভিত্তি বিস্তারিতভাবে বর্ণনা করা হয়েছে। প্রস্তাবিত বহুমুখী রিসিভার আর্কিটেকচারের বৈধতা যাচাই করার জন্য, একটি পরীক্ষামূলক প্রোটোটাইপ তৈরি ও উৎপাদন করা হয়েছে কা-ব্যান্ডে, যা পঞ্চম প্রজন্ম (৫জি) অ্যাপ্লিকেশন ও এর পরবর্তী জন্য উপযুক্ত। সিমুলেশন এবং পরিমাপের ফলাফলগুলো এই উদ্ভাবনী বহুমুখী ইন্টারফেরোমেট্রিক রিসিভার আর্কিটেকচারের সম্ভাব্যতা সমর্থন করে, যা একযোগে ডেটা গ্রহণ, এওএ অনুমান এবং ধ্রুবণ সনাক্তকরণ করতে সক্ষম।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
76	আমরা বিআইসিএমওএস এর উপর ইন্ডিয়াম ফসফাইড (আইএনপি)-ভিত্তিক চিপলেটগুলির সমন্বয়ের জন্য একটি নিম্ন-তাপমাত্রার ফ্লিপ-চিপ-ভিত্তিক মাউন্টিং প্রযুক্তি উপস্থাপন করছি। এই পদ্ধতির প্রক্রিয়া তাপমাত্রা ২০০ ডিগ্রি সেলসিয়াসের অনেক নিচে থাকে, যা সীমিত তাপমাত্রার বাজেটে থাকা চিপগুলিকে ডিভাইসের কার্যক্ষমতা নষ্ট না করে মাউন্ট করার সুযোগ দেয়। জটিল ট্রানজিশনের ক্ষেত্রে ভালো স্কেলেবিলিটি, পুনরাবৃত্তিযোগ্যতা এবং নমনীয়তা নিশ্চিত করতে আমরা প্রচলিত বাম্প অ্যারে কৌশল-এর পরিবর্তে একটি পিলার-ভিত্তিক পদ্ধতি ব্যবহার করি। তাপীয় সিমুলেশনগুলি প্রমাণ করে যে সমন্বয়ের কারণে তাপীয় প্রতিরোধের বৃদ্ধি গুরুতর নয়। রেডিও ফ্রিকোয়েন্সি (আরএফ) কার্যক্ষমতা কোনো বিশেষ ট্রানজিশন অপটিমাইজেশন ছাড়াই সাধারণ কোপ্ল্যানার ওয়েভগাইড (সিপিডব্লিউ) পরীক্ষা চিপ এবং ক্যারিয়ার ব্যবহার করে মূল্যায়ন করা হয়েছিল। ফলাফলগুলি ১০০ গিগাহার্জের বেশি ফ্রিকোয়েন্সি পর্যন্ত ভালো ব্রডব্যান্ড বৈশিষ্ট্য নির্দেশ করে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
77	রাদাড় প্রযুক্তি উচ্চতর কম্পাঙ্কের দিকে অগ্রসর হওয়ার সাথে সাথে, ইমেজিং সিস্টেমের ব্যবহার আরও গুরুত্বপূর্ণ হয়ে উঠছে। বায়ুমণ্ডলীয় অ্যাটেনুয়েশনের (ক্ষয়) কারণে টেরাহার্জ কম্পাঙ্ক স্পেকট্রামে পরিসীমা হ্রাস পেলেও, শিল্প অ্যাপ্লিকেশনগুলির জন্য নিকট-পরিসরের অ্যাপ্লিকেশনগুলি অত্যন্ত আগ্রহের বিষয়। এই গবেষণাপত্রটি প্রধান প্রযুক্তিগত পদ্ধতি এবং ধারণাগুলির সংক্ষিপ্ত বিবরণ ও তুলনা করে।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
78	দূরে অবস্থিত তুষার জলের সমতুল্য পরিমাণের (এসডব্লিউই) দীর্ঘমেয়াদী পর্যবেক্ষণ জলবিদ্যুৎ উৎপাদন, জলবায়ু মডেল এবং আরও অনেক কিছুর পূর্বাভাস দেওয়ার জন্য অপরিহার্য। এই গবেষণাপত্রে আমরা লাইসেন্সবিহীন দীর্ঘমেয়াদী দূরবর্তী এসডব্লিউই পর্যবেক্ষণ-এর জন্য এফসিসি/ইটিএসআই ইউডাব্লিউবি নিয়মাবলী মেনে চলা একটি কম-বিদ্যুৎ, কম-খরচের উর্ধ্বমুখী রাডার সিস্টেম উপস্থাপন করছি। একটি স্থির প্রতিফলকের টু-ওয়ে টাইম অফ অ্যারাইভাল দূরত্ব পরিমাপ ব্যবহার করে এসডব্লিউই অনুমান করা হয়। রাডার ক্ল্যাটার এবং মৌসুমি বাহ্যিক পরিবেশগত হস্তক্ষেপ ফিল্টার করার জন্য, পালস ডপলার সিগনাল ডোমেইন প্রসেসিং এবং শক্তিশালী অপারেশন সক্ষম করতে রেফারেন্স প্রতিফলকটি রাডারের সাথে লম্বভাবে ০.৬ হার্জ কম্পাঙ্কে দোলিত হয়। ৩.১৫ মিটার শুষ্ক পুরোনো তুষারের মধ্যে দিয়ে ৮ ডিবি-এর একটি এসএনআর পরিমাপ করা হয়েছে, যা বেশিরভাগ শুষ্ক তুষার অ্যাপ্লিকেশনের জন্য যথেষ্ট বলে বিবেচিত।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
79	এই কাজটি আলপাইন অঞ্চলে তুষার আচ্ছাদিত এলাকা এবং মাটির পর্যবেক্ষণ উন্নত করার জন্য এক্স-, সি- এবং এল-ব্যান্ডে পরিচালিত বিভিন্ন এসএআর ব্যবহারের বিষয় বিবেচনা করে। তুষার এবং পার্মাফ্রস্ট পর্যবেক্ষণে এর সম্ভাবনা কাজে লাগানোর জন্য এক্স-, সি- এবং এল-ব্যান্ডের একটি প্রাথমিক ডেটাসেট সংগ্রহ এবং বিশ্লেষণ করা হয়েছে। বিভিন্ন কম্পাঙ্কে এসএআর সিগনালের তীব্রতা এবং দশা (ফেজ) স্নো ওয়াটার ইকুয়িভালেন্ট এবং পার্মাফ্রস্টের বৈশিষ্ট্যগুলি অনুমান করার জন্য সংবেদনশীলতা দেখায়।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
80	আমরা অতিপরিবাহীর পৃষ্ঠতলের প্রতিবন্ধকতা পরিমাপের জন্য ব্যবহৃত ছোট (কয়েক মিলিমিটার), উচ্চ-পরাবৈদ্যুতিক স্থিতিমাপের (হাই-পারমিটিভিটি) ডাইইলেকট্রিক সিলিন্ডারগুলির ক্রায়োজেনিক পরাবৈদ্যুতিক স্থিতিমাপ এবং ক্ষয় ট্যানজেন্ট (লস ট্যানজেন্ট) পরিমাপ করার জন্য একটি পদ্ধতির বর্ণনা দিচ্ছি। পরীক্ষার জন্য ব্যবহৃত ডাইইলেকট্রিককে ধরে রাখার জন্য এবং ঠান্ডা অংশে (কোল্ড হেড) ভালো তাপ পরিবাহিতা নিশ্চিত করতে আমরা স্যাফায়ার এবং পিটিএফই সমর্থনের সম্মিলিত ব্যবহার করি। অতিরিক্তভাবে, রেজোনেটরের সামগ্রিক ক্ষয়ের মধ্যে ক্যাভিটির ধাতব ক্ষয় পরিমাপ এবং এর অবদান মূল্যায়নের সুবিধার্থে স্যাফায়ার সমর্থনটি ব্যবহৃত হয়।	Scientific Abstract	https://ieeexplore.ieee.org/document/9924490	HWT	0
